categ,nombre,dif,comens,time,tipo,link,ingred
arroces,receta_de_arroz_con_patatas_y_bacalao,media,2,45,principal,https://www.recetasgratis.net/receta-de-arroz-con-patatas-y-bacalao-74163.html,"2 trozos de bacalao sin espinas,3 patatas,1 pimiento verde,1 cebolla pequegna,80 gramos de arroz,1 cucharada postre de pimenton dulce,3 cucharadas soperas de aceite de oliva,1 pizca de sal"
arroces,receta_de_bulgur_con_verduras,baja,4,30,principal,https://www.recetasgratis.net/receta-de-bulgur-con-verduras-74114.html,"250 gramos de bulgur,1 cucharada postre de comino,1 cucharada postre de curcuma,1 chorro de aceite de oliva,1 pizca de sal,1 pimiento verde,1 pugnado de esparragos,½ pimiento rojo,1 cebolla,2 zanahorias,½ col"
arroces,receta_de_habas_con_arroz,baja,3,45,principal,https://www.recetasgratis.net/receta-de-habas-con-arroz-74106.html,"400 gramos de habas desgranadas,200 gramos de arroz redondo,1 trozo de cebolla dulce,1 diente de ajo grande o dos pequegnos,1 cucharadita de pimenton de la vera,1 hoja de laurel,1 rama de hierbabuena fresca,3 pellizcos de sal,1 chorro de aceite de oliva virgen extra,1 litro de agua,2 pellizcos de curcuma (opcional),1 cucharadita de comino molido"
arroces,receta_de_majadito,media,4,45,principal,https://www.recetasgratis.net/receta-de-majadito-74063.html,"500 gramos de charque,2 tazas de arroz,1 pimiento verde,1 ajo,1 pimiento rojo,1 cebolla,1 pizca de sal,1 pizca de pimienta,4 huevos,4 platanos"
arroces,receta_de_porridge_de_avena,baja,1,10,desayuno,https://www.recetasgratis.net/receta-de-porridge-de-avena-73749.html,"200 mililitros de leche de avena,75 gramos de copos de avena finos,1 cucharada sopera de sirope de agave,1 cucharada postre de chips de chocolate negro,1 cucharada postre de semillas variadas,1 cucharada postre de granos de granada"
arroces,receta_de_avena_con_leche,baja,2,10,desayuno,https://www.recetasgratis.net/receta-de-avena-con-leche-73726.html,"1 taza de avena en copos,2 tazas de leche animal o vegetal,canela al gusto,3 gotas de esencia de vainilla,Azucar o miel (opcional),Frutos secos (opcional),Frutas (opcional)"
arroces,receta_de_arroz_con_conejo_y_setas,baja,4,45,principal,https://www.recetasgratis.net/receta-de-arroz-con-conejo-y-setas-73589.html,"350 gramos de arroz bomba,1 conejo,200 gramos de setas variadas,1 pimiento verde,2 dientes de ajos,4 cucharadas soperas de tomate triturado,1 pizca de azafran,1 litro de caldo de pollo o carne,1 chorro de aceite,1 pizca de sal"
arroces,receta_de_arroz_con_pollo_venezolano,media,2,45,principal,https://www.recetasgratis.net/receta-de-arroz-con-pollo-venezolano-73402.html,"2 pechugas de pollo,1 cebolla,1 pimenton,1 tomate,1 lata de guisantes,1 taza de arroz,1 pizca de sal, pimienta y ajo al gusto,1 pizca de curcuma"
arroces,receta_de_polenta_con_tuco,media,2,45,principal,https://www.recetasgratis.net/receta-de-polenta-con-tuco-73365.html,"250 gramos de carne de ternera molida,1 copa de vino tinto,1 cuenco de queso parmesano,1 cuenco de aceite de oliva,1 cucharadita de azucar,1 cucharadita de cebolla en polvo o cebolla fresca molida,1 pellizco de pimienta negra,1 pellizco de aji molido,1 cucharadita de sal,1 diente de ajo,1 pieza de pimiento dulce rojo,1 cuenco de pulpa de tomate sin piel,Para la polenta,2 cucharadas soperas de harina de maiz,1 litro de caldo de ave,10 gramos de mantequilla"
arroces,receta_de_arroz_con_chipirones,baja,4,45,principal,https://www.recetasgratis.net/receta-de-arroz-con-chipirones-73345.html,"300 gramos de arroz bomba,2 dientes de ajos,1 pimiento verde pequegno,5 hebras de hebras de azafran o colorante,400 gramos de chipirones,900 mililitros de caldo de pescado o agua,125 gramos de tomate triturado o salsa de tomate,1 chorro de aceite,1 pizca de sal"
